"FoodID","PyramidCategoryOrder","PyramidCategoryID","HighFat","HighSugar","PyramidValue"
261,1,6,0,0,0.51
261,2,73,,,0.25
262,1,6,0,0,0.26
262,2,73,,,0.13
263,1,6,0,0,0.26
263,2,73,,,0.13
264,1,6,0,0,0.04
264,2,73,,,0.02
266,1,12,0,0,6.46
266,2,77,,,99.00
268,1,12,0,0,8.51
268,2,77,,,128.00
269,1,6,0,0,0.04
269,2,73,,,0.02
270,1,6,0,0,2.00
270,2,73,,,1.00
271,1,6,0,0,1.50
271,2,73,,,0.75
272,1,6,0,0,1.50
272,2,73,,,0.75
273,1,6,0,0,1.50
273,2,73,,,0.75
274,1,6,0,0,1.50
274,2,73,,,0.75
275,1,6,0,0,1.45
275,2,73,,,1.09
276,1,6,0,0,1.46
276,2,73,,,1.09
278,1,6,0,0,1.46
278,2,73,,,1.09
279,1,12,0,0,8.57
279,2,77,,,132.00
280,1,6,0,0,1.45
280,2,73,,,1.08
281,1,6,0,1,1.45
281,2,73,,,1.09
282,1,6,0,0,2.00
282,2,73,,,1.00
283,1,6,0,0,1.32
283,2,73,,,0.66
284,1,6,0,0,2.00
284,2,73,,,1.00
285,1,6,0,0,1.00
285,2,12,0,0,1.00
285,3,73,,,0.50
285,4,77,,,36.00
286,1,6,0,0,1.00
286,2,73,,,0.50
287,1,6,0,0,0.94
287,2,73,,,0.47
288,1,6,0,0,0.25
288,2,73,,,0.12
289,1,6,0,0,2.00
289,2,12,0,0,2.00
289,3,73,,,1.00
289,4,77,,,61.00
290,1,6,0,0,1.00
290,2,12,0,0,1.00
290,3,73,,,0.50
290,4,77,,,57.00
291,1,6,0,0,2.00
291,2,73,,,1.00
292,1,6,0,0,1.24
292,2,73,,,0.62
293,1,6,0,1,1.76
293,2,73,,,0.88
294,1,6,0,0,1.00
294,2,12,0,0,1.00
294,3,73,,,0.50
294,4,77,,,38.00
295,1,6,0,0,2.00
295,2,73,,,1.00
296,1,6,0,0,1.00
296,2,12,0,0,1.00
296,3,73,,,0.50
